"session_id","name","exotel_call_sid"
"74a6a1b0-3a8b-4ab6-993f-a41f57f82a73","Anushka","ca82d61cb5df148becaff74709c8195m"
"de8f8c93-884f-401a-a18f-9810c0d63c3b","Anushka","2daefcedbdfef56495233e679d43195l"
"9b83acf1-1127-4399-acc3-745e78cea62b","Anushka","21b228270628b6ec10f3abc98f78195l"
"b11318c8-b40f-4fe7-80d3-ac1c8ab5d5ae","Anushka","43a1c9eecf1bfd2dadb7d5e6ee74195l"
"5515a6d5-7375-443d-9d7b-8ef4016bc50b","Anushka",NULL
"c8eca338-d5d5-40bc-ae71-d2b04ff56ae6","Anushka",NULL
"a380ff16-d011-4e83-83e7-faacf70d1f77","Anushka",NULL
"d505827d-49c4-48c8-9aa7-4aa576fe46d9","Anushka",NULL
"e62cadd8-6323-4e8c-a1bb-84f4963f2152","Ayush ","b3878459ba95d6b71e86e0a470a5195f"
"82455118-4b75-4daa-a02d-b8d51ea1fedc","Ayush ","cf5086d3a18850fe24ddf72efcae195f"
"5d0a87af-44c1-4126-9c08-f31ab0082fbd","Vishnu Vardhan",NULL
"c1ccd3e2-9959-41c9-bda8-ca6d435808ea","Ayush ","582b94dce052edbb8a065bb0ac6f195f"
"2904fe05-68e1-44d1-bb8e-8fe82b3a794c","Ayush ","500d4e8fe0605f3f3b7160335b31195f"
"bbcd497a-867a-4664-ba85-747b5297a623","Ayush ","b568382d8dce98d8ec7ca052415a195f"
"9092cd9c-0e33-4642-a83f-6d52994db1d7","Vishnu Vardhan","6a4e3428576fb17bb065f7b96cf4195f"
"fa11625a-7ef5-4d0c-9e09-4bf30b4ff60d","Vishnu Vardhan","c648c504192856282ec580040597195f"
"2c990167-d533-4bf3-889a-fae9ccd097ff","Vishnu Vardhan","49f51a1afaa0bc930e47824874d0195f"
"589a2dcd-d44d-4503-ba81-63fdd9503cd4","Vishnu Vardhan","d9c91e3e30eeb4894471783684bd195f"
"88c3d343-a69e-465d-bf89-36653d2a0874","Vishnu Vardhan","bfc6744be2c2ec3b30ab443f4c3a195f"
"71722bb2-ae99-4465-8268-05fd69c9d7a7","Vishnu Vardhan","42069aa4c0f9b35d2d8c84c2d93e195f"
"6119c82c-6db4-4b72-8d6e-e98321f2f241","Vishnu Vardhan","c2ab2d9daa9e05b304e0c2ed055a195f"
"970c59bd-5a73-40ab-82d8-6fb141caf44e","Vishnu Vardhan","9dec778772720565e538aa44064b195f"
"0659e423-2018-4bc2-8323-bae2276a897b","Vishnu Vardhan","741041099a72964861a0b0160755195f"
"e6d568f6-36f7-4a36-9c4d-ebd2bac065f8","Vishnu Vardhan","46fc42107d9766aa8b2fba172915195f"
"29068205-9d43-4681-a0cf-d2d770bda4e0","Vishnu Vardhan",NULL
"d20e3d08-3836-4a04-9cc5-bb554b5ca345","Ayush ","f4d6b202fcbfd3a8b22b7eaf1254195f"
"7cc2bd9e-da70-4123-8949-86fc338d5568","Vishnu Vardhan","79cd3d3d265c951a57de2f54ea1d195f"
"df6a761b-2567-46ff-8af9-ccc7eac55540","Vishnu Vardhan",NULL
"93f12d1a-3b8d-47f4-a20a-c927c594d167","Vishnu Vardhan",NULL
"52464d28-eb1c-4507-8e41-d7232562fde8","Vishnu Vardhan",NULL
"438818ec-4728-4836-acc8-9e1a73d9f26d","Ayush ","a3b2c80ab026f51411b36e3fe479195e"
"ca8992c9-6049-4b3a-a803-a64a55c4980c","Ayush ","174906aaffa72b56654fe20c4922195e"
"c8d35855-dd53-4007-aa99-a7cdd24117ad","Vishnu Vardhan",NULL
"0e717b59-5c95-4803-9026-6b6fa286a415","Vishnu Vardhan","f4cf69b67ec0ef50fb164fb74041195e"
"a722f817-68e6-4f16-a23c-c51ec0efeeb1","Vishnu Vardhan","2c78f5954c71093bb6eff3d57d26195e"
"336db218-fcf2-4e36-970a-b0ac1260cccf","Vishnu Vardhan","bf4032e1c0ca18c5b56591024fce195e"
"827e981f-6343-4f2a-8a99-db26a3c5bb50","Ayush ",NULL
"70f14074-e1ae-4052-9700-36a0d9494a5b","Ayush ",NULL
"15ab4d50-8fc7-45a2-a3e6-72ddc4687698","Ayush ",NULL
"1f0239aa-4dcb-418b-921d-ec831d420bb2","Ayush ",NULL
"9eda9c4e-50fa-4008-9ec1-9209b9b3c4b9","Ayush ",NULL
"d0ce84ee-bfce-45cd-98e7-107251ae399c","Ayush ",NULL
"de245201-2e25-4fb7-be01-32319cd1f72c","Ayush ","5e1bd16f388cc772c1ae9a9bae6f1958"
"8d6bc2a3-7a41-474d-b622-00cd84a115c7","Jahanvi",NULL
"74f7fb5b-4371-45a8-be84-61ccd762108e","Jahanvi","adc606921b4eb178c2f8c25422421958"
"73be96db-8be6-4990-88bc-145f00b5174a","Jahanvi",NULL
"11c7db88-a479-4684-ab67-3c90a11311d6","Ayush ","44305a6cf12c81e48fea44b16edf1958"
"525c992e-657c-4daf-a706-6ee2b02d3833","Ayush ","d86fa52280f21f0a00292468218d1958"
"62da72d2-19e8-4b78-ba70-21c5fde3035a","Ayush ","bfbeebfac7598e6882852634792e1958"
"dceb0e7c-6ffb-4d58-8caf-62af514f8d71","Ayush ","32ecddad1bc0ddbb9c42e2441aeb1958"
"e965631f-56a3-4d60-a14f-7fa1a2eeeea2","Ayush ","e1372430eeb2a4e1749fde5f12301958"
"3e9076cb-9d61-4ea1-a55b-ad72f0e79ecf","Ayush ","4a6f70c84ff32ff378590c043bb81958"
"07137972-3e33-4989-86b4-490d7700d4f3","Vishnu Vardhan","5ea5f4cf4844ac148c4b798fe1321958"
"baaf7346-c67e-487b-8641-e4e87014dc04","Vishnu Vardhan","13ba7530484b0786da3c81af47cf1958"
"43e3e039-af8f-4a39-982a-d3a655c4f0f3","Akhilesh","2eb66dd978ae69816b9ebaac2bfc1958"
"d0da3bf8-1e17-4d8c-a168-e801b94fce9d","Akhilesh","6e5363d8b7dffbd8c0978ec0f79f1958"
"22006272-03ef-47bf-ae91-4296e6c36fb6","Ayush ",NULL
"fab8d21f-3931-44d0-b440-638e09bd0bfc","Ayush ","c8f582b6a538d5446c9888820e7c1957"
"b39e8405-c07d-4c68-9635-a1b2c8a07ae7","Ayush ","64b9899fd3afe7f81b15ef0d12221957"
"d8ea8f35-b6bf-42b3-ba40-9f55908e1afe","Ayush ","9b4795b6442f0933ea3f5f0ae8ad1957"
"9161bb4a-b165-4143-b339-ab19db4bd9c5","Ayush ","8ab2e99703b94b6dcc9148fa6c821957"
"796278a5-ce21-41b3-b9ec-d3c881146495","Ayush ","5ab1d3ead2efbc4a0c1cac3e34f91957"
"5ff2c873-07b4-4aac-8a7c-e24a59db51a8","Ayush ","967079a48132461354e4a5aef60c1957"
"7cc5468c-84b6-4070-bfe7-f5af836852e7","Ayush ","039d3cce1040cc6cefdad0f32fcf1957"
"05558a37-150d-469e-9fef-a1d2f389ea67","Ayush ","f91f1a6f19cb81456c79319a23dc1957"
"88982f7c-2d0a-4bd2-ac54-43952ab97905","Ayush ","c089fa89d12508532875736697831957"
"120b3dad-6b88-4d7f-b418-c06c0a4d2a7d","Ayush ","19d81de3470bc6471361c663a18f1957"
"58848702-fccd-4dd6-8098-feb58d782467","Vishnu Vardhan","8deb7cee48135c10024bc42007db1957"
"bcc998b4-4404-46bf-811b-5913d5bb1b8f","Ayush ","c586df2c7668ac1a67adab9653901957"
"db41005e-b6c6-4217-b500-bf755a29da72","Ayush ","88995fedac6b085a0ca3550529901957"
"36a9c1ef-8b01-41d1-82a5-221ea1e05751","Ayush ","7b75f800f0c645283b6381849d2d1957"
"93d4233a-6359-425d-9e2e-5a22a8116198","Adit Lal","928afbc44a326e5c2491dfef57e11957"
